site,date,observer,transect,start_time,end_time,temp_C,wind,wind2,sky,floral_visitor_ID,MoreSpecificID,plant_visiting,num_individuals ,notes,temp_F,month,year,temp_Crounded
SBCC,3/17/2021,Gaby,3,1345,1350,14,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,2,Ocimum kilimandscharicum x basilicum 'Dark Opal',57,3,2021,14
SBCC,3/17/2021,Gaby,3,1345,1350,14,0,,clear,HB,Apis mellifera,Ceanothus sp.,9,,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1345,1350,14,0,,clear,HB,Apis mellifera,Borago officinalis,4,,57,3,2021,14
SBCC,3/17/2021,Gaby,3,1345,1350,14,0,,clear,Fly,,Ceanothus sp.,1,,57,3,2021,14
SBCC,3/17/2021,Gaby,4,1357,1402,14,0,,clear,HB,Apis mellifera,Sedum sp.,1,,57,3,2021,14
SBCC,3/17/2021,Gaby,4,1357,1402,14,0,,clear,HB,Apis mellifera,Prunus ilicifolia ssp. lyonii,2,,57,3,2021,14
La Cumbre,3/30/2021,Gaby,1,1115,1123,16,0,,clear,HB,Apis mellifera,Calendula sp.,1,,61,3,2021,16
La Cumbre,3/30/2021,Gaby,2,1124,1131,16,0,,clear,HB,Apis mellifera,Diplotaxis tenuifolia,1,,61,3,2021,16
La Cumbre,3/30/2021,Gaby,2,1124,1131,16,0,,clear,HB,Apis mellifera,Calendula sp.,1,,61,3,2021,16
La Cumbre,3/30/2021,Gaby,3,1132,1137,16,0,,clear,,,,0,no visitors,61,3,2021,16
La Cumbre,3/30/2021,Gaby,1,1139,1147,16,0,,clear,,,,0,no visitors,61,3,2021,16
La Cumbre,3/30/2021,Gaby,2,1208,1215,16,0,,clear,HB,Apis mellifera,Senna sp.,1,,61,3,2021,16
La Cumbre,3/30/2021,Gaby,2,1208,1215,16,0,,clear,HB,Apis mellifera,Calendula sp.,1,,61,3,2021,16
La Cumbre,3/30/2021,Gaby,3,1218,1223,16,0,,clear,,,,0,no visitors,61,3,2021,16
Brad,3/30/2021,Gaby,1,1337,1347,15,0,,clear,HB,Apis mellifera,Citrus sp.,1,,59,3,2021,15
Brad,3/30/2021,Gaby,2,1348,1358,15,0,,clear,Carpenter,Female Xylocopa,Lycianthes sp.,1,,59,3,2021,15
Brad,3/30/2021,Gaby,2,1348,1358,15,0,,clear,HB,Apis mellifera,Lycianthes sp.,1,,59,3,2021,15
